section,test1,test2,test3,hw1,hw2,hw3,hw4,hw5,hw6,hw7,hw8,hw9,hw10,hw11,quiz1,quiz2,quiz3,quiz4,quiz5,quiz6,quiz7,quiz8,quiz9,quiz10,quiz11,quiz12,quiz13,project1,project2,final
2,39,68,75,2,12,9,8,10,8,13,15.1,7.7,16,17,10,8.5,4,7,8,0,9.75,3,10,6,9.5,9,10,C-,A-,81
2,37,51,87,2,9.7,9,11,9,8,10,15.5,7.7,15,28,9,9,7,10,9,10,3.25,10,8.5,10,6,10,7,D,D,52
3,72,76,89,2,12,9,11,10,8,13,17,5.7,16,28,9,10,10,10,10,10,10,10,10,10,10,10,10,B,A-,73
2,59,89,79,0,2,6.8,2,1,7,8,6.2,4.3,10.6,22,10,0,0,9,10,10,7,10,10,10,10,9,10,B+,A+,65
1,60,57,84,2,10.3,9,9,9,8,9,6,7,16,13,10,10,10,0,10,9,0,5,10,10,8,10,8,B-,A-,102
2,42,48,69,2,10,8.7,9,10,8,11,14.3,5,15.5,21,10,6,10,6,10,9,6,10,7,10,8,7,10,B,B,34
3,73,93,88,2,11.7,9,10,10,8,13,16.5,7.7,15.8,28,10,8,7,10,10,10,10,10,9,,,,10,A+,B+,96
2,43,77,65,2,12,9,11,4,7,12,10.9,1.3,13.5,30,0,7,0,9,8,5,7,10,10,8,9,6,10,A+,B,77
2,77,79,83,2,9.7,8.7,9,9,0,11,15,7.7,16,26,10,10,10,10,8,10,8,10,10,10,10,10,10,A+,B,109
3,61,79,77,2,10.7,9,11,9,8,13,15.5,8,16,30,10,10,10,8,10,9,8,8,5,8,9,6,10,A-,A-,90
3,77,81,81,2,12,9,11,9,8,13,17,9,16,28,10,8,8,10,10,9,8,10,10,10,10,10,10,A+,A-,95
2,44,76,78,2,11,8.2,8,9,8,8.5,11.8,4.6,15,28,10,7,10,10,8,5,7,10,8,7,10,5,10,C+,B-,52
1,93,100,89,2,12,9,11,10,8,13,17,8.7,16,28,10,10,10,10,10,9,10,10,10,9,10,10,10,A+,A+,102
1,65,72,85,2,11.7,9,10,10,8,13,17,9,16,30,10,0,9,9,10,9,10,10,10,10,10,0,10,A+,B+,103
1,93,91,98,2,12,9,11,10,8,13,17,7.7,16,28,10,10,10,9.5,10,10,10,7,10,10,10,10,10,C,B+,108
2,41,86,76,2,12,8,8,10,8,13,17,0,15,30,10,10,10,10,10,10,10,10,10,10,10,10,10,A+,A+,36
1,87,100,94,2,12,9,11,10,8,13,15.8,7.7,16,28,10,10,10,10,10,10,10,10,8,10,10,10,10,A-,C+,108
2,41,84,67,2,10,8.7,9,10,8,8,4.5,7.7,16,28,8,10,4,7,10,9,9.5,7.5,10,6,8,6,10,A-,D,61
3,58,70,82,2,11.7,9,11,10,8,11,16,8.7,16,28,4,9,5,6,8,8,8,10,9,10,10,6,10,B-,B,51
1,79,86,65,2,12,9,11,10,8,13,17,9,15,28,10,8,10,10,8,9,8,2,6,10,9,9,10,B-,B-,87
2,83,97,101,2,12,9,11,10,8,13,17,9,15.5,28,9,10,10,10,10,9,10,10,10,10,10,9,10,A-,A+,105
2,65,50,61,2,12,9,9,9,8,13,15.5,7,16,20,10,10,10,9,10,10,10,10,10,10,0,7,10,B-,B-,78
2,57,85,92,2,10.7,9,10,10,8,13,17,5,15,28,10,10,9,9,10,0,9,8,10,7,10,7,8,B+,A-,92
3,41,67,70,2,11.3,9,5,10,8,13,12.3,8.3,7.5,20,10,9,3,10,10,9,10,10,6,7,8,6,10,B-,A-,50
1,29,30,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,A+,0
2,38,52,78,2,8.7,7.3,8,8,7,8.5,10.8,5.5,15,26,0,6,9,3,8,6,8,10,4,10,9,7,7,B-,B-,32
1,82,77,74,2,12,9,9,8,3,13,11.5,9,15,24,7,10,9,8,10,9,9,8,10,9,8,10,10,B,B-,92
1,21,34,51,2,5.7,9,9,10,8,13,17,6.7,0,27,10,2,10,10,9,10,2,10,10,10,9,10,10,B-,A+,0
2,100,89,92,2,12,9,11,10,8,12,16.8,9,16,28,10,10,10,10,9,9,10,10,10,10,10,10,10,A+,B,107
2,79,70,96,2,12,9,11,10,8,12,14,9,16,28,10,10,10,10,10,10,9,10,8,10,0,9,10,A+,A+,103
2,61,81,84,2,11.7,9,11,9.5,8,13,17,8.5,16,30,10,10,10,10,10,10,9,10,10,10,10,10,10,A+,B-,95
1,0,0,0,1,2.7,9,0,0,0,0.5,1.2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
2,29,33,0,2,1,9,8,8,7,8,0,0,0,0,10,5,9,7,10,7,10,0,6,0,0,0,0,B+,,0
2,101,53,63,2,10.3,9,2,10,8,0,0,0,0,0,8,9,0,10,10,9,10,10,10,10,10,10,10,A-,A-,80
1,30,68,83,2,11,9,7,9,8,9,13.4,8.1,14,0,10,10,10,10,8,9,9.5,3,10,10,8,10,6,C,A-,55
2,44,53,42,2,10.3,9,9,10,8,10,11,4.7,9.8,23,10,8,9,7,10,9,7,10,4,10,10,7,10,B+,B,29
3,42,62,66,2,12,9,11,9,8,13,16.8,9,16,26,9,10,7,10,9,9,6,10,10,10,7,9,10,B-,C+,66
1,102,99,96,2,12,9,8,7,5,13,17,9,16,28,10,10,10,9,10,10,10,10,10,10,10,10,10,A-,A+,110
3,96,55,94,2,12,9,8,10,8,13,15.3,8.3,14.2,30,9,10,10,10,,,7,10,5,,,10,,F-,A+,70
2,90,91,101,2,11.2,8.3,8,9,6,10.5,15.2,6,15.8,23,10,10,10,10,10,9,9,6,10,6,10,10,10,A+,B-,97
2,77,81,79,2,12,8,11,9,8,10.5,17,9,15.5,27,10,10,10,6,10,9,7,9,9,10,10,10,10,B,A-,87
1,54,70,73,2,8,9,10,8,0,10,6.2,7.7,15.3,20,0,10,10,4,10,9,8,9,10,10,6,7,10,A+,A+,71
3,87,98,101,2,12,9,11,10,8,13,17,9,17,28,10,10,10,4,3,9,10,9,8,10,10,10,10,A+,A-,103
1,44,71,72,2,8.7,9,7,9,7,13,13,9,15,25,8,6,6,10,9,10,8.5,0,10,10,4,10,9,A-,B,75
1,73,93,74,2,12,9,11,10,8,13,17,9,16,28,7,5,7,10,10,8,7,10,10,10,10,9,10,A-,A-,83
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
1,37,54,74,2,8.7,8,6,8,8,13,13.5,9,16,7,9,9,9,10,10,8,8,6,10,4,9,6,9,A+,B-,63
3,54,91,89,2,11.7,9,11,9,8,13,17,8.2,17,27,9,10,10,8,10,10,10,10,10,10,8,10,10,B,A-,69
1,91,62,73,2,7,8.7,9,10,8,9,17,3,15.2,28,10,10,10,7,10,0,10,10,10,10,10,10,10,B+,B+,86
1,84,86,91,2,12,9,11,10,8,13,17,9,16,28,10,10,10,9,10,10,9,10,10,10,10,10,10,B+,A+,106
2,23,46,60,2,8,8,9,10,6,11,12.3,2,0,0,9,6,9,9,10,8,10,10,3,10,9,5,10,B,D+,0
1,95,86,87,2,12,9,10,10,8,13,16.3,8.2,16,28,9,10,10,9,10,9,8,7,10,10,10,10,10,A+,B-,101
2,100,101,96,2,12,9,11,10,8,13,17,9,16,28,10,10,9,10,10,10,10,10,10,10,10,10,10,A-,A+,111
2,66,83,79,2,12,8.5,10,10,8,8,13.5,4.9,16,28,10,10,9,10,10,9,10,8,10,10,10,10,10,C-,B-,73
3,89,75,91,2,11.7,9,9,9,8,13,15.5,8.7,16,27,10,9,10,,10,9,9.75,10,10,6,10,10,10,A-,B+,105
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3,53,73,67,2,12,9,9,10,8,12,17,9,15.8,23,10,10,8,10,10,8,9,10,10,,10,9,9,B+,A-,80
2,69,90,88,2,12,9,11,10,8,13,17,9,16,28,10,10,9,10,10,9,10,10,10,10,10,10,10,B-,B+,89
1,48,47,64,2,1.7,8.7,0,0,5,8,11.4,0,0,0,9,0,10,7,8,8,5,5,10,10,5,8,0,A+,A-,0
2,45,90,88,2,12,9,10,10,8,12,17,6.7,16,28,10,8,10,9,9,9,10,10,6,10,10,8,10,B-,B,46
3,62,99,82,2,11.7,9,10,9,8,12,14,5.3,15,28,10,9,8,8.5,8,9,8,10,10,10,9.5,10,9,C+,A+,71
2,60,56,71,2,12,9,9,7,8,13,16,7.7,11.5,16,10,10,9,9,9,0,0,9,0,10,10,7,10,B+,B-,0
3,86,78,69,2,12,9,11,9,8,13,14.5,9,14.5,22,10,,10,9,10,8,10,7,10,10,9,6,10,A+,A+,104
2,63,57,73,2,1,8.8,0,9,7,6,9.5,3,6.5,0,0,0,0,8,0,0,0,0,0,10,10,0,0,F-,F-,0
3,71,65,91,2,9.7,9,6,9,7,0,2.8,0,11.5,,9,10,10,10,9,10,,10,10,10,8,,,A+,B,68
3,43,80,79,2,8,9,9,9,8,11,9.1,4,14.5,23,8,9,,6,0,10,10,10,,10,0,8,10,B,A-,64
2,80,44,91,2,12,9,11,10,8,13,17,7,16,27,8,10,9,10,10,9,10,10,10,10,10,10,10,A+,B,82
1,36,73,59,2,12,9,11,10,8,13,17,7.7,16,28,9,9,9,9,9,9,10,10,8,10,10,10,10,A-,B,48
3,75,62,64,2,12,9,10,10,8,13,16.5,9,17,18,9,10,9,10,8,10,10,10,9,10,9,8,10,C+,B,84
1,84,54,87,2,11,9,9,9,8,9,13.9,4.7,0,0,10,10,9,10,10,10,9,5,10,10,0,9,10,A-,A-,97
3,78,97,100,2,12,9,11,10,8,12,17,9,16,28,,10,10,9.5,10,8,9,6.5,10,10,10,10,10,A-,A+,103
3,39,49,83,2,10.7,6,4,7,7,6,13.1,3,15,28,10,10,9,8,10,9,10,6,9,10,10,10,10,A-,A+,84
1,45,86,82,1,9,8.7,1,7,5,8.5,10.9,5.7,10.7,28,7,6,9,10,10,9,8,10,10,10,10,3,10,A+,B+,57
2,49,57,68,2,9.3,9,9,10,7,9,6.7,5.7,11.5,28,10,9,10,6,10,9,7,10,4,10,10,9,10,B+,A+,55
3,33,61,79,2,7.3,8.2,5,10,8,11,17,7.3,15.8,28,10,9,6,10,10,10,10,10,10,,,,10,A+,B+,37
2,57,75,99,2,12,9,9,10,8,13,17,9,16,28,10,6,10,8,10,8,9,8,9,10,10,10,10,B+,B+,99
3,55,73,87,2,12,9,8,10,8,13,17,9,16,30,7,10,10,10,10,10,8,8,9,8,10,10,7,A+,A-,83
2,91,95,99,2,11.7,8.7,9,10,8,12,17,9,16,30,10,10,10,10,8,10,8,10,10,10,10,10,9,B+,B-,110
1,41,63,66,2,12,9,11,10,8,13,17,10,17,15,8,8,6,8,6,9,6,10,10,10,10,10,10,B,A+,42
1,43,60,71,2,12,9,10,10,8,13,15.4,8,16,21,7,8,10,10,10,10,10,10,10,10,10,8,8,B,C-,87
2,67,95,97,2,12,9,9,10,8,12,17,9,16,30,10,10,9,10,10,9,10,10,10,10,8,9,10,A-,A+,93
1,50,84,64,2,3.7,9,0,6,6,8.5,7.2,9,15.8,17,8.5,10,10,0,9,0,7,9,10,0,10,0,0,C+,B-,56
3,92,93,98,2,12,9,11,10,8,13,16.5,9,16,27,10,10,10,4,10,10,7,7,10,10,9,7,10,B-,B+,85
3,78,92,89,2,12,9,11,10,8,12,16.5,9,15,30,10,10,10,10,10,10,9,10,10,10,10,10,10,B,A+,110
1,36,36,93,2,9.7,9,9,9,8,13,14,6,15.5,21,10,6,10,8,10,7,6,2,10,10,9,4,10,B-,D+,77
1,78,75,77,2,12,9,10,10,8,13,17,8.3,16,28,6,9,10,10,8,10,8.5,9,10,10,7,10,8,B-,C+,72
1,71,85,61,2,8.7,9,10,9,8,12,2.2,3,8.5,28,10,9,9,9,10,10,9,8,8,0,10,10,10,A+,A+,93
1,31,68,62,2,10.7,9,8,8,8,13,13.5,6,14.8,30,10,10,7,10,10,10,10,0,10,10,10,0,10,A-,B,71
2,37,48,27,2,8.7,9,7,8,0,5.8,1.8,0,0,0,0,9,10,8,10,9,10,0,3,0,9,9,0,D+,A-,0
3,82,90,98,2,10.7,8.5,8,8,7,12,15.8,9,15,25,10,10,9.5,10,9,10,9,10,10,10,10,10,9,B,B-,74
1,70,82,99,2,12,9,9,8,8,9,17,9,16,27,10,10,10,10,10,10,9,10,10,10,10,10,10,B+,B+,93
1,42,44,77,2,6.7,6.3,9,8,8,9.8,16.8,8,0,27,4,8,10,0,10,9,0,0,10,0,0,0,8,B+,B-,43
3,67,81,81,2,10.3,9,10,8,8,13,17,8.2,14,28,10,8,9,9,9,,,5.5,10,10,6,,10,A-,D,79
2,89,92,96,2,11.7,9,8,9,8,13,16.5,7.7,16,29,10,10,7,8,10,10,9,9,10,10,9,10,10,B+,A+,94
2,44,45,75,2,12,9,9,8,8,13,15,8.3,16,22,10,10,10,10,9,8,7,5,7,10,8,10,10,B,A,63
1,31,50,61,2,12,9,11,10,8,13,16.8,9,16,28,9,10,10,10,10,10,10,10,10,10,10,10,0,B+,B,29
2,39,51,29,2,0.7,9,0,5,2,10,7.8,5.2,11.2,12,10,10,10,7,10,8,10,7,10,10,8,8,8,B+,A+,19
3,41,60,54,2,0,0,0,0,1,9,0,0,0,,8,10,5,10,10,8,7,,7,,,,10,A+,B+,55
1,54,42,51,2,4.7,9,6,5,6,11,13.4,3.7,0,26,9,10,7,8,9,10,9,10,7,0,6,0,0,A+,B-,0
2,69,91,89,2,9,7.8,9,10,8,9,3.5,4.7,10,22,10,9,9,10,10,9,8,9,9,10,10,10,8,B-,A-,90
2,80,94,89,2,11.7,8.7,9,10,8,13,17,8.3,16,28,10,7,10,7,10,10,8,10,10,10,10,10,10,A+,A+,88
2,83,93,99,2,12,9,11,10,8,13,17,7.3,16,23,9,10,10,10,10,9,10,10,10,10,10,10,10,A-,A+,109
3,48,71,71,2,8.7,9,2,10,8,12,15,5.6,15.5,30,10,10,9,,10,10,8,10,10,10,9,10,9,C,A+,43
1,57,62,75,2,8.7,8,10,2,6,9,13.1,0,16,16,10,9,9,9,10,8,8,3,7,0,10,10,5,C-,C+,89
2,41,55,75,2,9.3,8.8,9,10,7,7.8,13.5,4.7,11,26,7,6,9,8,10,9,6,7,5,10,6,5,10,C,C+,35
2,56,68,58,2,8.3,7,8,1,3,2,0,0,0,0,10,10,10,10,10,10,0,10,10,10,8,2,10,C,C+,0
3,90,98,100,2,12,9,11,10,8,13,17,9,16,30,10,10,10,10,10,9,9,10,8,10,10,10,10,A+,A-,106
2,63,97,94,2,12,9,5,10,8,13,17,9,15.8,30,10,10,10,8,10,10,9,10,8,6,10,9,10,A-,C-,105
2,55,87,97,2,11.7,9,10,9,8,12,15,7.3,16,28,9,10,9,10,10,10,10,10,10,10,10,10,10,B,B-,103
2,45,83,74,2,12,9,11,10,8,13,17,10,17,27,10,10,10,10,8,10,10,10,8,10,10,7,10,B,B+,97
2,50,80,84,2,9.7,8.5,11,10,8,10,13.3,5,15.8,8,10,6,9,8,10,10,9,8,10,10,10,6,10,A+,B+,41
2,22,65,83,2,12,9,1,9,7,13,16.3,7.3,13.8,28,9,4,3,7,10,8,2,4,9,0,9,5,7,A+,B+,49
1,49,73,42,2,11,5,8,10,8,6.5,11,3,16,20,9,10,10,8,10,8,6,8,2,10,10,10,10,B+,B-,59
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
1,52,62,45,2,10.7,9,10,8,8,8.5,12.5,7.9,10.2,18,10,7,10,10,10,8,10,10,6,10,10,7,10,A+,A+,63
1,30,36,69,2,8.7,7,0,8,7,8.5,11.9,4.7,16,28,8,3,9,10,10,0,7,0,3,9,8,10,0,A-,A-,58
3,94,88,101,2,10.7,9,10,10,8,13,17,9,16,23,10,10,10,0,10,8,9,9,8,10,10,10,9,C+,A+,103
1,100,100,0,2,12,9,11,0,0,0,0,0,0,0,10,10,10,10,0,0,0,0,0,0,0,0,0,,,0
3,51,81,85,2,11.7,8.7,10,9,8,12.5,12,7,16,26,9,,10,10,7,8,7,10,9,10,3,10,10,A-,A-,88
1,86,97,98,2,12,9,11,10,8,13,17,9,16,25,9,9,10,10,10,10,10,10,10,10,9,8,10,A+,A-,103
2,97,99,102,2,12,9,10,10,8,13,17,9,16,26,10,9,10,10,10,10,10,10,10,10,10,9,9,B-,A-,109
1,59,81,88,2,12,9,9,10,8,8,12.3,3.7,15,28,10,10,10,8,10,10,6,10,10,10,10,10,10,A-,B+,75
2,46,74,70,2,9.7,9,11,10,8,11,16,7.7,15,28,9,9,9,10,10,9,9,9.5,8,10,5,10,9,C-,A-,60
2,96,87,97,2,12,9,11,10,8,13,17,9,16,28,10,10,10,10,10,10,10,10,10,10,10,10,10,A-,A+,110
3,91,91,97,2,12,9,11,9,8,12,15.3,9,10.5,23,10,10,6,10,10,10,10,10,,,,,10,A+,A+,92
3,78,85,72,2,12,9,11,10,8,11,16,8.5,16,28,10,9,5,10,10,8,9,10,10,10,9,9,10,B+,C,74
1,27,57,71,2,10.3,9,11,10,7,13,17,6.7,16,25,9,2,7,10,9,10,3,0,10,10,7,10,9,B-,A+,40
2,69,91,86,2,9,8.8,8,10,8,12,13.7,7.2,15,28,10,10,10,10,10,9,9,9,10,10,10,10,7,B+,B+,93
2,64,70,81,2,12,9,9,10,8,13,16.2,9,16,28,8,10,10,10,7,10,10,10,8,10,10,7,10,B,B-,80
3,68,61,91,2,11.3,8.2,8,8,8,10.5,8.2,4.7,15.2,23,10,7,9,10,8,8,9,,9,6,9,10,9,B+,B,68
2,55,74,84,2,12,9,11,10,8,13,16.6,5.3,11.2,28,0,8,10,9,10,9,0,10,10,10,10,10,10,B-,D+,64
2,33,78,87,2,12,9,7,10,8,13,17,9,16,30,10,10,10,9,10,10,8,10,10,10,10,9,10,C,A+,99
2,79,98,96,2,12,9,8,10,4,6.8,11.9,9,12.5,0,7,10,10,9,10,10,9,8,10,10,10,10,10,B,A+,93
2,66,81,77,2,10.7,9,11,10,8,12,17,6.7,14,28,10,10,9,10,8,10,9.5,6,10,10,7,10,10,A+,A+,90
1,76,87,79,2,12,9,11,10,8,13,17,9,16,25,10,9,10,10,9,10,10,9,7,10,9,6,9,A-,A-,91
1,100,99,97,2,12,9,11,10,8,13,17,9,16,28,10,10,10,4,10,10,9,10,10,10,10,10,10,B+,A+,101
2,59,60,75,2,11.3,8.2,9,9,7,13,14.2,7.7,16,23,10,10,9,10,10,10,8,10,10,0,0,10,10,B,B-,61
1,52,78,90,2,12,9,8,10,8,13,17,9,16,28,10,10,10,10,10,8,9,8,10,10,10,6,7,B+,B+,85
2,62,93,93,2,9.7,9,10,8,8,11.5,14.5,9,17,28,8,6,9,9,10,9,7,2,10,0,10,10,0,D,B+,80
1,67,50,80,2,10.7,9,9,9,8,12,16.3,4.3,16,26,7,9,7,10,8,8,10,8,4,10,8,7,10,B+,B-,51
2,77,102,94,2,11.7,8,6,10,7,12,8.5,5.9,16,27,8,10,9,9,10,10,10,10,10,10,10,10,10,A+,A-,104
3,100,101,101,2,12,9,11,10,7,12,17,7.7,16,30,10,10,10,10,10,10,8,10,10,10,10,10,10,A+,A-,110
2,28,61,72,2,12,9,11,10,8,13,15,9,16,18,10,10,10,9,7,10,10,10,6,10,10,7,10,B+,B,33
3,78,93,85,2,12,9,11,10,8,12,17,9,16,27,10,8.5,8,10,10,10,10,10,10,10,10,10,10,B-,A+,98
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
3,78,63,68,2,9.3,9,8,8,7,12,15.5,5.3,13.8,23,9,10,7,10,8,10,10,10,10,10,10,10,10,C-,B,82
1,91,89,100,2,12,9,11,10,8,13,17,8.3,16,8,10,10,10,8,10,10,10,8,0,10,10,10,10,A+,A+,111
2,79,92,75,2,12,9,11,10,8,13,17,9,16,28,10,10,10,10,8,10,6,10,8,7,9,6,9,B+,B,75
1,69,93,96,2,12,9,9,10,8,13,17,8.3,16,17,8,0,10,10,8,0,0,8,6,7,0,10,10,B,C-,105
3,80,49,91,2,11.7,9,8,9,8,11,12.9,4.8,15,28,10,10,10,10,10,9,6,4,10,10,10,10,7,B+,B,95
2,46,56,58,2,11.7,9,9,8,0,10,10,2,0,23,10,8,8.5,10,9,0,7.5,9,10,0,5,9,10,A-,A+,0
2,64,89,87,2,12,9,11,10,8,13,17,9,16,28,10,10,8,10,10,10,10,10,10,10,10,10,10,C-,B,89
1,36,73,66,2,12,9,11,10,8,13,17,9,16,28,5,10,8,10,10,10,10,10,10,10,10,10,10,A-,A-,51
2,77,99,101,2,12,9,11,10,8,13,17,9,16,30,10,10,9,10,10,9.5,10,8.5,10,10,10,10,10,A+,A+,111
1,61,56,66,2,11.7,8.7,10,9,7,9,13.6,7.7,17,23,10,10,10,9,10,10,6,10,10,10,10,10,10,A-,A+,76
1,42,70,60,2,12,7.2,9,8,8,11.5,14,7.8,16,25,9,10,6,10,10,9,8,10,10,10,10,4,6,A-,B,82
3,0,46,71,0,0,5.5,0,0,0,6.5,4.5,0,12.2,28,10,10,,,10,,,,10,,10,9,,C+,B+,66
3,28,44,66,2,8,9,11,10,8,11.5,9.2,5.6,12.8,27,8,10,8,9,8,10,10,10,6,10,10,9,9,A-,B+,55
3,85,92,86,2,12,9,11,10,8,13,16,9,16,28,9,10,10,10,10,8,10,8,10,10,10,10,10,B-,A-,95
1,72,71,91,2,12,9,10,10,8,13,17,9,16,27,4,10,10,9,10,10,8,7,10,10,8,9,10,D,C,81
2,43,69,77,2,4.3,9,1,9,8,12,10.7,8.3,15.5,26,10,10,10,9,10,9,10,10,6,10,10,10,10,F,D,78
1,55,78,74,2,12,9,11,10,8,13,17,9,16,28,9,10,10,10,10,10,10,10,10,10,10,9,10,B-,F,67
1,29,4,0,2,8,8.8,0,9,0,0,0,0,0,,0,10,10,4,8,0,4,0,0,0,0,0,0,,B-,0
